project_county_name,project_state,total_loans,kabbage_loans,percent_kabbage_loans,total_loans.x,kabbage_loans.x,percent_kabbage_loans.x,project_county_name.y.y,total_loans.y,kabbage_loans.y,percent_kabbage_loans.y,state_code,state_name,county_code,fips_code
MADISON,FL,282,4,1.4184397163120568,282,4,1.4184397163120568,NA,NA,NA,NA,NA,NA,NA,NA
MADISON,GA,415,9,2.1686746987951806,415,9,2.1686746987951806,NA,NA,NA,NA,NA,NA,NA,NA
MADISON,IA,719,1,0.13908205841446453,719,1,0.13908205841446453,NA,NA,NA,NA,NA,NA,NA,NA
MADISON,ID,729,NA,NA,729,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MADISON,IL,5298,34,0.6417516043790109,5298,34,0.6417516043790109,NA,NA,NA,NA,NA,NA,NA,NA
MADISON,IN,1592,19,1.193467336683417,1592,19,1.193467336683417,NA,NA,NA,NA,NA,NA,NA,NA
MADISON,KY,1491,11,0.7377598926894702,1491,11,0.7377598926894702,NA,NA,NA,NA,NA,NA,NA,NA
MADISON,LA,453,1,0.22075055187637968,453,1,0.22075055187637968,NA,NA,NA,NA,NA,NA,NA,NA
MADISON,MO,366,2,0.546448087431694,366,2,0.546448087431694,NA,NA,NA,NA,NA,NA,NA,NA
MADISON,MS,4907,41,0.8355410637864276,4907,41,0.8355410637864276,NA,NA,NA,NA,NA,NA,NA,NA
MADISON,MT,282,NA,NA,282,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MADISON,NC,181,NA,NA,181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MADISON,NE,1876,1,0.053304904051172705,1876,1,0.0533049040511727,NA,NA,NA,NA,NA,NA,NA,NA
MADISON,NY,894,7,0.7829977628635347,894,7,0.7829977628635347,NA,NA,NA,NA,NA,NA,NA,NA
MADISON,OH,716,4,0.5586592178770949,716,4,0.5586592178770949,NA,NA,NA,NA,NA,NA,NA,NA
MADISON,TN,2445,12,0.49079754601227,2445,12,0.49079754601227,NA,NA,NA,NA,NA,NA,NA,NA
MADISON,TX,292,2,0.684931506849315,292,2,0.684931506849315,NA,NA,NA,NA,NA,NA,NA,NA
MADISON,VA,198,2,1.0101010101010102,198,2,1.0101010101010102,NA,NA,NA,NA,NA,NA,NA,NA
MAGOFFIN,KY,114,NA,NA,114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MAHASKA,IA,801,1,0.12484394506866417,801,1,0.12484394506866416,NA,NA,NA,NA,NA,NA,NA,NA
MAHNOMEN,MN,162,NA,NA,162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MAHONING,OH,5844,69,1.1806981519507187,5844,69,1.1806981519507187,NA,NA,NA,NA,NA,NA,NA,NA
MAJOR,OK,656,NA,NA,656,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MALHEUR,OR,670,NA,NA,670,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MANASSAS CITY,VA,1029,39,3.7900874635568513,1029,39,3.7900874635568513,NA,NA,NA,NA,NA,NA,NA,NA
MANASSAS PARK CITY,VA,197,2,1.015228426395939,197,2,1.015228426395939,NA,NA,NA,NA,NA,NA,NA,NA
MANATEE,FL,8187,237,2.8948332722609016,8187,237,2.8948332722609016,NA,NA,NA,NA,NA,NA,NA,NA
MANATI,PR,559,NA,NA,559,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MANISTEE,MI,303,1,0.33003300330033003,303,1,0.33003300330033003,NA,NA,NA,NA,NA,NA,NA,NA
MANITOWOC,WI,1430,15,1.048951048951049,1430,15,1.048951048951049,NA,NA,NA,NA,NA,NA,NA,NA
MARATHON,WI,2661,8,0.3006388575723412,2661,8,0.3006388575723412,NA,NA,NA,NA,NA,NA,NA,NA
MARENGO,AL,620,7,1.129032258064516,620,7,1.129032258064516,NA,NA,NA,NA,NA,NA,NA,NA
MARICAO,PR,21,NA,NA,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MARICOPA,AZ,86583,1484,1.713962325167758,86583,1484,1.713962325167758,NA,NA,NA,NA,NA,NA,NA,NA
MARIES,MO,517,NA,NA,517,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MARIN,CA,9588,NA,NA,9588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MARINETTE,WI,737,1,0.13568521031207598,737,1,0.13568521031207598,NA,NA,NA,NA,NA,NA,NA,NA
MARION,AL,515,4,0.7766990291262136,515,4,0.7766990291262136,NA,NA,NA,NA,NA,NA,NA,NA
MARION,AR,294,3,1.0204081632653061,294,3,1.020408163265306,NA,NA,NA,NA,NA,NA,NA,NA
MARION,FL,6551,189,2.8850557166844757,6551,189,2.8850557166844757,NA,NA,NA,NA,NA,NA,NA,NA
MARION,GA,169,1,0.591715976331361,169,1,0.591715976331361,NA,NA,NA,NA,NA,NA,NA,NA
MARION,IA,986,3,0.3042596348884381,986,3,0.3042596348884381,NA,NA,NA,NA,NA,NA,NA,NA
MARION,IL,1015,NA,NA,1015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MARION,IN,25308,350,1.3829619092776988,25308,350,1.3829619092776988,NA,NA,NA,NA,NA,NA,NA,NA
MARION,KS,616,NA,NA,616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MARION,KY,838,2,0.23866348448687352,838,2,0.23866348448687352,NA,NA,NA,NA,NA,NA,NA,NA
MARION,MO,740,NA,NA,740,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MARION,MS,816,5,0.6127450980392157,816,5,0.6127450980392157,NA,NA,NA,NA,NA,NA,NA,NA
MARION,OH,825,3,0.36363636363636365,825,3,0.3636363636363637,NA,NA,NA,NA,NA,NA,NA,NA
MARION,OR,5229,102,1.9506597819850833,5229,102,1.9506597819850833,NA,NA,NA,NA,NA,NA,NA,NA
MARION,SC,503,4,0.7952286282306162,503,4,0.7952286282306162,NA,NA,NA,NA,NA,NA,NA,NA
MARION,TN,436,7,1.6055045871559634,436,7,1.6055045871559634,NA,NA,NA,NA,NA,NA,NA,NA
MARION,TX,149,5,3.3557046979865772,149,5,3.3557046979865772,NA,NA,NA,NA,NA,NA,NA,NA
MARION,WV,705,4,0.5673758865248227,705,4,0.5673758865248227,NA,NA,NA,NA,NA,NA,NA,NA
MARIPOSA,CA,158,NA,NA,158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MARLBORO,SC,339,16,4.71976401179941,339,16,4.71976401179941,NA,NA,NA,NA,NA,NA,NA,NA
MARQUETTE,MI,1101,1,0.09082652134423251,1101,1,0.09082652134423252,NA,NA,NA,NA,NA,NA,NA,NA
MARQUETTE,WI,247,1,0.4048582995951417,247,1,0.4048582995951417,NA,NA,NA,NA,NA,NA,NA,NA
MARSHALL,AL,1869,8,0.4280363830925628,1869,8,0.4280363830925628,NA,NA,NA,NA,NA,NA,NA,NA
MARSHALL,IA,929,2,0.2152852529601722,929,2,0.2152852529601722,NA,NA,NA,NA,NA,NA,NA,NA
MARSHALL,IL,365,2,0.547945205479452,365,2,0.547945205479452,NA,NA,NA,NA,NA,NA,NA,NA
MARSHALL,IN,842,2,0.23752969121140144,842,2,0.23752969121140144,NA,NA,NA,NA,NA,NA,NA,NA
MARSHALL,KS,1047,1,0.09551098376313276,1047,1,0.09551098376313276,NA,NA,NA,NA,NA,NA,NA,NA
MARSHALL,KY,555,5,0.9009009009009009,555,5,0.9009009009009008,NA,NA,NA,NA,NA,NA,NA,NA
MARSHALL,MN,780,NA,NA,780,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MARSHALL,MS,1651,38,2.301635372501514,1651,38,2.301635372501514,NA,NA,NA,NA,NA,NA,NA,NA
MARSHALL,OK,313,1,0.3194888178913738,313,1,0.3194888178913738,NA,NA,NA,NA,NA,NA,NA,NA
MARSHALL,SD,443,NA,NA,443,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MARSHALL,TN,488,5,1.0245901639344261,488,5,1.024590163934426,NA,NA,NA,NA,NA,NA,NA,NA
MARSHALL,WV,221,NA,NA,221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MARTIN,FL,4209,115,2.73224043715847,4209,115,2.73224043715847,NA,NA,NA,NA,NA,NA,NA,NA
MARTIN,IN,138,NA,NA,138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MARTIN,KY,63,NA,NA,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MARTIN,MN,1185,1,0.08438818565400844,1185,1,0.08438818565400844,NA,NA,NA,NA,NA,NA,NA,NA
MARTIN,NC,363,NA,NA,363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MARTIN,TX,90,2,2.2222222222222223,90,2,2.2222222222222223,NA,NA,NA,NA,NA,NA,NA,NA
MARTINSVILLE CITY,VA,235,3,1.276595744680851,235,3,1.276595744680851,NA,NA,NA,NA,NA,NA,NA,NA
MASON,IL,461,NA,NA,461,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MASON,KY,483,NA,NA,483,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MASON,MI,568,2,0.35211267605633806,568,2,0.35211267605633806,NA,NA,NA,NA,NA,NA,NA,NA
MASON,TX,262,1,0.38167938931297707,262,1,0.381679389312977,NA,NA,NA,NA,NA,NA,NA,NA
MASON,WA,555,7,1.2612612612612613,555,7,1.2612612612612613,NA,NA,NA,NA,NA,NA,NA,NA
MASON,WV,187,NA,NA,187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MASSAC,IL,313,1,0.3194888178913738,313,1,0.3194888178913738,NA,NA,NA,NA,NA,NA,NA,NA
MATAGORDA,TX,677,7,1.03397341211226,677,7,1.03397341211226,NA,NA,NA,NA,NA,NA,NA,NA
MATANUSKA SUSITNA,AK,1645,10,0.60790273556231,1645,10,0.60790273556231,NA,NA,NA,NA,NA,NA,NA,NA
MATHEWS,VA,148,NA,NA,148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MAUI,HI,4478,129,2.8807503349709696,4478,129,2.8807503349709696,NA,NA,NA,NA,NA,NA,NA,NA
MAUNABO,PR,44,NA,NA,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MAURY,TN,1701,38,2.2339800117577897,1701,38,2.2339800117577897,NA,NA,NA,NA,NA,NA,NA,NA
MAVERICK,TX,616,4,0.6493506493506493,616,4,0.6493506493506493,NA,NA,NA,NA,NA,NA,NA,NA
MAYAGUEZ,PR,1215,NA,NA,1215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MAYES,OK,764,3,0.3926701570680628,764,3,0.3926701570680628,NA,NA,NA,NA,NA,NA,NA,NA
MCCLAIN,OK,1037,3,0.28929604628736744,1037,3,0.28929604628736744,NA,NA,NA,NA,NA,NA,NA,NA
MCCONE,MT,194,NA,NA,194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
